Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-1058,4,1058/conf_004.xyz,0.07142857,90.496544,50.38941,14.628176,34.25674,16.364906,0.0,21.108866,73.30406,17.192478,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,5,1058/conf_005.xyz,0.07142857,85.47284,47.59216,14.98951,33.825474,18.835964,0.0,21.027275,70.05206,15.420778,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,6,1058/conf_006.xyz,0.07142857,87.96721,48.98105,12.39024,37.194035,20.875751,0.0,21.376953,68.07056,19.896652,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,7,1058/conf_007.xyz,0.07142857,87.96721,48.98105,12.39024,37.20569,20.89906,0.0,21.376953,68.07056,19.896652,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,8,1058/conf_008.xyz,0.07142857,85.78755,47.76739,14.231874,35.107624,20.87575,0.0,21.073898,68.31533,17.47222,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,9,1058/conf_009.xyz,0.07142857,90.92781,50.629543,14.534929,38.48784,23.95291,0.0,21.062243,68.76991,22.157898,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,10,1058/conf_010.xyz,0.07142857,93.247345,51.92108,14.768047,36.89098,18.229855,0.0,21.341984,73.12923,20.118114,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,11,1058/conf_011.xyz,0.07142857,77.96643,43.412514,13.171186,29.827494,15.350844,0.0,20.456135,67.138084,10.828347,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,12,1058/conf_012.xyz,0.07142857,87.96721,48.98105,12.39024,37.20569,20.887405,0.0,21.376953,68.07056,19.896652,geometric_opposed_substituent_vector,,,
SIG-NIHDA-1058,13,1058/conf_013.xyz,0.07142857,84.26063,46.917183,12.378584,33.930374,17.9268,0.0,21.073898,68.152145,16.108479,geometric_opposed_substituent_vector,,,
SIG-NIHDA-2062,0,2062/conf_000.xyz,0.04347827,71.36918,39.739094,10.350454,31.109644,18.404694,0.0,22.076307,60.878857,10.490326,geometric_opposed_substituent_vector,,,
SIG-NIHDA-2062,1,2062/conf_001.xyz,0.04347827,64.45722,35.890446,9.709379,27.181599,17.029297,0.0,21.260393,57.953224,6.504002,geometric_opposed_substituent_vector,,,
SIG-NIHDA-2062,2,2062/conf_002.xyz,0.04347827,68.490166,38.136032,10.385423,27.542933,14.2901535,0.0,21.948093,61.333435,7.1567335,geometric_opposed_substituent_vector,,,
SIG-NIHDA-2062,3,2062/conf_003.xyz,0.04347827,88.57332,49.31854,9.686068,42.439198,28.626934,0.0,22.262802,62.673866,25.899448,geometric_opposed_substituent_vector,,,
SIG-NIHDA-2062,4,2062/conf_004.xyz,0.04347827,82.24415,45.79439,10.606885,41.157043,30.526848,0.0,22.09962,59.258682,22.985468,geometric_opposed_substituent_vector,,,
