Source_ID,kraken_published,stericx_on_dft
778,3.268452045,3.2170334
779,21.9995585,20.864092
780,2.442187368,2.7507963
781,23.02559097,21.866503
782,2.895064084,3.1937218
783,21.97236498,20.945683
784,3.340619466,3.6832705
785,6.719937405,6.608904
790,3.089602349,2.9372911
791,2.657643727,2.715828
792,2.053110837,2.1330338
793,1.629519452,1.5968609
794,2.309357477,2.4477434
795,1.370135097,1.3287745
796,1.337712053,1.3753986
797,1.399420428,1.3287745
798,1.436027091,1.3404303
799,6.662412649,6.7487764
800,0.889018956,0.9907532
820,3.980713115,3.5200872
821,3.98175902,3.5200872
830,4.414763547,4.3942804
831,5.064270337,5.2684755
832,4.360376505,4.0912275
833,4.706570945,4.534151
835,8.114128309,7.541376
836,3.252763475,3.112131
837,3.37513432,3.2286901
838,1.325161197,1.3054628
839,20.10333336,18.521255
840,5.972115577,6.0843897
848,4.727489038,5.070325
851,3.563397158,3.7648602
852,1.33039072,1.2122154
853,4.326907556,4.4991837
862,6.785829398,6.772087
864,3.893903029,3.893076
865,23.33622465,23.067059
