ligand,file,geometries,conformers,donor_element,donor_index,substituents,sterimol_l,sterimol_b1,sterimol_b5,percent_buried_volume,buried_volume,qvbur_min,qvbur_max,max_delta_qvbur,max_delta_qvbur_min,pyr_p,pyr_alpha
186,.stericx/kraken_dft_cache/186/35222.sdf,39,39,P,30,C C C,8.1193,4.3528,11.8394,27.7660,49.8661,10.7988,14.3502,2.9890,1.4337,0.9423,16.5219
187,.stericx/kraken_dft_cache/187/35261.sdf,25,25,P,7,C C C,7.8826,3.5612,8.3652,27.8466,50.0109,11.3310,13.7950,1.5232,1.4570,0.9413,16.7312
188,.stericx/kraken_dft_cache/188/35286.sdf,55,55,P,4,C C C,6.9771,3.0549,7.0572,36.5564,65.6533,10.8970,22.9015,11.3891,3.9164,0.9437,16.2462
189,.stericx/kraken_dft_cache/189/35341.sdf,40,40,P,4,C C C,6.9779,3.1250,7.5220,36.4692,65.4966,10.9496,23.1536,11.4298,4.5225,0.9461,15.8669
19,.stericx/kraken_dft_cache/19/31929.sdf,16,16,P,5,C C C,6.9629,2.1931,6.9486,28.6187,51.3975,10.1232,16.8086,6.6424,5.1403,0.9368,17.3064
190,.stericx/kraken_dft_cache/190/35381.sdf,27,27,P,4,C C C,6.9676,2.2071,7.2226,30.7332,55.1951,10.3164,18.8843,7.9109,3.2403,0.9346,17.6226
1900,.stericx/kraken_dft_cache/1900/63138.sdf,10,10,P,25,C C C,7.5920,4.6778,9.7066,62.5909,112.4097,15.2681,40.3761,21.2651,12.7982,0.8490,27.4491
1901,.stericx/kraken_dft_cache/1901/63148.sdf,41,41,P,22,C C C,8.6518,4.5747,7.9680,40.3910,72.5399,12.5981,26.3472,13.2505,4.7090,0.9074,21.0830
1902,.stericx/kraken_dft_cache/1902/63189.sdf,20,20,P,11,C C C,8.1003,4.1533,8.1743,55.7869,100.1902,14.7570,34.0813,17.4104,2.3545,0.8931,22.5883
1903,.stericx/kraken_dft_cache/1903/63209.sdf,17,17,P,4,C C C,5.6652,2.5999,6.9926,40.1724,72.1474,9.7265,30.3273,17.3255,5.9911,0.9193,18.7261
1904,.stericx/kraken_dft_cache/1904/63226.sdf,21,21,P,20,C C C,6.8856,2.3476,6.9950,40.7723,73.2247,9.5795,31.5442,19.1551,5.8862,0.9306,17.1162
1905,.stericx/kraken_dft_cache/1905/63247.sdf,2,2,P,23,N N N,6.4322,2.2199,6.5316,30.6659,55.0742,11.8133,15.6364,3.8231,0.0233,0.4180,25.2259
1908,.stericx/kraken_dft_cache/1908/63297.sdf,20,20,P,0,C C C,7.6104,5.4051,7.2373,61.6709,110.7574,15.2151,41.5702,22.8386,9.4529,0.8953,22.5260
191,.stericx/kraken_dft_cache/191/35408.sdf,40,40,P,9,O O O,7.9555,4.1246,8.6625,36.9341,66.3315,10.4947,22.8106,11.0591,2.8674,0.9730,10.5625
192,.stericx/kraken_dft_cache/192/35448.sdf,6,6,P,8,C C C,6.9522,2.9131,7.4891,40.7818,73.2419,12.2154,25.9927,11.6812,10.4320,0.8349,28.8483
193,.stericx/kraken_dft_cache/193/35454.sdf,3,3,P,8,C C C,7.1649,3.9384,7.5057,48.6738,87.4155,19.6985,24.3298,3.0888,3.0772,0.7125,40.1126
194,.stericx/kraken_dft_cache/194/35457.sdf,3,3,P,6,C C C,6.9513,3.0102,7.8131,40.6542,73.0127,12.0755,24.4347,9.5462,9.5462,0.8406,28.4611
195,.stericx/kraken_dft_cache/195/35460.sdf,4,4,P,6,C C C,7.0010,3.2192,7.4134,37.8716,68.0152,13.5325,19.6402,5.6036,2.7858,0.9033,21.7717
196,.stericx/kraken_dft_cache/196/35464.sdf,8,8,P,5,C C C,7.8956,2.9279,7.8559,37.7791,67.8491,13.6957,20.1749,5.9955,2.9606,0.8988,22.2165
197,.stericx/kraken_dft_cache/197/35472.sdf,10,10,P,5,C C C,7.8972,2.8569,7.8854,28.1685,50.5890,11.4566,13.8647,1.3393,1.2588,0.9335,17.8716
198,.stericx/kraken_dft_cache/198/35482.sdf,7,7,P,7,C C C,6.9495,3.0408,7.2274,36.9956,66.4421,12.7349,20.2480,7.2233,2.9023,0.8922,22.9991
199,.stericx/kraken_dft_cache/199/35489.sdf,2,2,P,7,C C C,7.0601,3.1593,7.4203,28.2029,50.6508,11.5160,13.8356,1.3055,1.2822,0.9338,17.8286
2,.stericx/kraken_dft_cache/2/31706.sdf,28,28,P,18,C C C,6.9852,4.2676,7.2084,57.1410,102.6220,13.6283,39.5664,22.5430,2.3079,0.9225,19.0184
20,.stericx/kraken_dft_cache/20/31945.sdf,47,47,P,4,C C C,6.3274,2.9214,6.4402,34.4934,61.9482,10.8725,21.0583,9.2474,1.2588,0.9514,15.0228
