split_id,stratum,status,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,mae_kcal_mol,rmse_kcal_mol,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S034,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.7576600641194859,1.5251283457453626,1.7150505478601064,0.13199459766666666,0.112513889,0.070292997,-0.019480708666666652,-0.06170160066666666,0.8524128334716973,0.5325444998704782
S035,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.7415730825849632,0.638985456186429,0.9401941352615423,0.27778374766666664,0.112513889,0.18395584399999998,-0.16526985866666663,-0.09382790366666666,0.4050412954144955,0.6622268060863743
S036,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.6593441424817016,0.8521961430452061,1.046447712629557,0.2020085163333333,0.112513889,0.070292997,-0.0894946273333333,-0.1317155193333333,0.5569759683514598,0.34797046320566927
S037,one_three_member_scaffold,failed,0.0,0.0,4,,,,,1.5326791656666667,,,,,,
S038,three_singleton_scaffolds,success,0.0,0.5,2,-0.5,0.7469275964900394,1.38187102770614,1.493490212645404,1.2169564983333332,0.34352042,1.2436379235,-0.8734360783333333,0.026681425166666717,0.28227830696533845,1.0219247156354463
S039,three_singleton_scaffolds,success,1.0,1.0,1,1.0,1.0,0.9868463402311894,1.0556073249714906,1.1875822913333332,2.143755427,1.6536745375,0.9561731356666667,0.4660922461666668,1.8051426352889983,1.392471536135295
S040,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.948590325904048,0.7797341355217554,0.9686854438247692,1.11180706,2.143755427,1.085913766,1.0319483669999998,-0.025893294000000067,1.9281721659511677,0.9767106227945701
S041,three_singleton_scaffolds,success,1.0,0.5,1,0.5,0.9706138608193171,1.0614642167922732,1.3397252576848115,1.25759621,2.143755427,1.304597491,0.8861592169999999,0.047001281000000006,1.7046452668619285,1.0373739047766373
S042,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.9142245486666666,,,,,,
S043,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.8384493173333333,,,,,,
S044,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.6550183871335856,1.2112468984978542,1.2355764363637842,0.9842384673333333,0.34352042,0.4044799875,-0.6407180473333334,-0.5797584798333333,0.3490215343144676,0.4109573044791535
S045,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.8090751103333332,,,,,,
S046,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.9548642603333333,,,,,,
S047,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.8790890290000001,,,,,,
S048,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.720446846176527,1.5485774228894635,1.65158142135528,0.5875039556666667,0.34352042,0.2994591095,-0.2439835356666667,-0.2880448461666667,0.584711671617925,0.5097142012604673
S049,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.6763131952380501,1.146364572370168,1.4409848320798553,0.5117287243333334,0.34352042,0.1857962625,-0.1682083043333334,-0.32593246183333335,0.6712939955589347,0.3630756955104493
S050,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.7482914607348441,1.2928712555268065,1.4945178290482046,0.6575178743333333,0.34352042,0.4044799875,-0.3139974543333333,-0.2530378868333333,0.5224503141428668,0.6151619648516902
S051,three_singleton_scaffolds,success,0.0,0.5,3,-1.0,0.5759079477060051,1.440315631834867,1.6778730714727836,0.4823545173333333,0.028072105,0.141734952,-0.4542824123333333,-0.34061956533333326,0.05819807629292014,0.2938397939830082
S052,three_singleton_scaffolds,success,0.0,1.0,2,0.5,0.8374285979592714,1.2292084974508104,1.5397016828030037,0.6281436673333334,0.465439555,0.8145166015,-0.16270411233333337,0.18637293416666667,0.7409762753414942,1.2967043112252936
S053,three_singleton_scaffolds,success,0.0,0.5,3,-0.5,0.7238194818604075,0.8586573236902977,1.319343134702952,0.552368436,0.465439555,0.24675583,-0.08692888099999996,-0.30561260599999995,0.8426251839632634,0.44672326280424907
S054,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.20899677466666666,,,,,,
S055,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.35478592466666664,,,,,,
S056,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.27901069333333334,,,,,,
S057,three_singleton_scaffolds,failed,0.0,0.0,4,,,,,0.24963648633333335,,,,,,
