split_id,stratum,permutation,ranking,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S009,three_singleton_scaffolds,6,SIG-NIHDA-2063|SIG-NIHDA-724|SIG-NIHDA-401,0.0,1.0,2,0.5,0.7012672384267048,0.8184399726666666,0.255397799,1.1995766129999998,-0.5630421736666666,0.3811366403333333,0.3120544053681236,1.465686737038884
S010,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-2064,0.0,1.0,2,0.5,0.6487065471003989,0.7426647413333334,0.056166692,1.0999610595,-0.6864980493333334,0.3572963181666666,0.07562859642314763,1.4811004189120374
S010,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2064|SIG-NIHDA-724,0.0,0.5,3,-0.5,0.522406041420007,0.7426647413333333,0.056166692,0.0421193985,-0.6864980493333332,-0.7005453428333333,0.07562859642314765,0.056713879299536286
S010,three_singleton_scaffolds,3,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-2064,1.0,1.0,1,1.0,1.0,0.7426647413333334,2.143755427,1.0999610595,1.4010906856666665,0.3572963181666666,2.886572241400927,1.4811004189120374
S010,three_singleton_scaffolds,4,SIG-NIHDA-724|SIG-NIHDA-2064|SIG-NIHDA-401,1.0,0.5,1,0.5,0.998322830024662,0.7426647413333334,2.143755427,1.085913766,1.4010906856666665,0.3432490246666666,2.886572241400927,1.462185701788426
S010,three_singleton_scaffolds,5,SIG-NIHDA-2064|SIG-NIHDA-401|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.5176783647902429,0.7426647413333333,0.028072105,0.0421193985,-0.7145926363333333,-0.7005453428333333,0.037799162175924925,0.056713879299536286
S010,three_singleton_scaffolds,6,SIG-NIHDA-2064|SIG-NIHDA-724|SIG-NIHDA-401,0.0,0.5,2,-0.5,0.6423017004952968,0.7426647413333334,0.028072105,1.085913766,-0.7145926363333334,0.3432490246666666,0.03779916217592492,1.462185701788426
S011,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-724|SIG-NIHDA-2067,0.0,0.5,2,-0.5,0.6657662111300878,0.8884538913333334,0.056166692,1.0999610595,-0.8322871993333334,0.2115071681666666,0.06321846586288085,1.2380620651559648
S011,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2067|SIG-NIHDA-724,0.0,0.5,3,-1.0,0.5766396149572235,0.8884538913333332,0.056166692,0.2608031235,-0.8322871993333332,-0.6276507678333332,0.06321846586288088,0.29354716777547546
S011,three_singleton_scaffolds,3,SIG-NIHDA-724|SIG-NIHDA-401|SIG-NIHDA-2067,1.0,0.5,1,0.5,0.9782656544017281,0.8884538913333334,2.143755427,1.0999610595,1.2553015356666664,0.2115071681666666,2.412905664449049,1.2380620651559648
S011,three_singleton_scaffolds,4,SIG-NIHDA-724|SIG-NIHDA-2067|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.8884538913333334,2.143755427,1.304597491,1.2553015356666664,0.4161435996666666,2.412905664449049,1.4683907670685594
