Reaction_ID,Conformer_Index,Conformer_XYZ_Path,Boltzmann_Weight,vbur,percent_vbur,qvbur_min,qvbur_max,max_delta_qvbur,ovbur_min,ovbur_max,near_vbur,far_vbur,Coordination_Center_Method,Coordination_Center_X,Coordination_Center_Y,Coordination_Center_Z
SIG-NIHDA-401,48,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_048.xyz,0.0011499884,49.89898,27.784266,10.280519,16.061853,5.781335,0.0,16.061853,49.89898,0.0,crest212_xtb640_lmo_kraken,4.5052733,1.0313874,-2.3751264
SIG-NIHDA-401,49,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_049.xyz,0.0011399885,49.82905,27.745327,10.268863,15.968607,5.699744,0.0,15.968607,49.82905,0.0,crest212_xtb640_lmo_kraken,4.2952538,1.0534878,-2.7333097
SIG-NIHDA-401,50,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_050.xyz,0.0011099888,49.805733,27.732346,10.268863,15.945294,5.6764317,0.0,15.945294,49.805733,0.0,crest212_xtb640_lmo_kraken,4.173902,1.2074541,-2.8273983
SIG-NIHDA-401,51,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_051.xyz,0.0010999889,49.782425,27.719368,10.268863,15.933639,5.664776,0.0,15.933639,49.782425,0.0,crest212_xtb640_lmo_kraken,4.3876567,1.274866,-2.4569578
SIG-NIHDA-401,52,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_052.xyz,0.002179978,49.922295,27.797249,10.268863,16.01523,5.7463675,0.0,16.01523,49.92229,0.0,crest212_xtb640_lmo_kraken,4.291723,1.5948839,-2.431115
SIG-NIHDA-401,53,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_053.xyz,0.001089989,49.945606,27.810228,10.280519,16.120134,5.839616,0.0,16.120134,49.945606,0.0,crest212_xtb640_lmo_kraken,4.297479,1.528966,-2.452652
SIG-NIHDA-401,54,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_054.xyz,0.0021299785,49.910637,27.790756,10.268863,16.038544,5.769681,0.0,16.038544,49.910637,0.0,crest212_xtb640_lmo_kraken,4.0554347,1.458422,-2.8533082
SIG-NIHDA-401,55,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_055.xyz,0.0010199897,49.922295,27.797249,10.268863,15.980263,5.7114,0.0,15.980263,49.922295,0.0,crest212_xtb640_lmo_kraken,4.2185745,1.7447906,-2.422052
SIG-NIHDA-401,56,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_056.xyz,0.0005799941,47.521175,26.460281,10.816691,13.217811,2.4011192,0.0,13.217811,47.52118,0.0,crest212_xtb640_lmo_kraken,4.761902,2.6831498,0.20820127
SIG-NIHDA-401,57,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_057.xyz,0.000009999899,47.66105,26.538164,10.968219,13.229466,2.2612476,0.0,13.229466,47.661045,0.0,crest212_xtb640_lmo_kraken,3.209438,1.7372985,-3.090404
SIG-NIHDA-401,58,quantum/conformers/SIG-NIHDA-401_9d42bff1/a85a96389c9d4098/conf_058.xyz,0.000009999899,47.82423,26.629023,10.921595,13.217811,2.296216,0.0,13.217811,47.824226,0.0,crest212_xtb640_lmo_kraken,3.4528854,2.8899083,2.0242617
